Date,Designation,Day of the week
01.01.2013,New Year's Day,Tu
12.02.2013,Shrove Tuesday,Tu
29.03.2013,Good Friday,Fr
31.03.2013,Easter,Su
31.03.2013,DST start,Su
25.04.2013,Freedom day Portugal,Th
01.05.2013,Labour Day,We
05.05.2013,Mother's Day,Su
09.05.2013,Europe Day,Th
30.05.2013,Corpus Christi,Th
10.06.2013,Portugal Day,Mo
15.08.2013,Assumption Day,Th
05.10.2013,Republic Day Portugal,Sa
27.10.2013,DST end,Su
01.11.2013,All Saints' Day,Fr
01.12.2013,First Advent,Su
01.12.2013,Independence Day Portugal,Su
08.12.2013,Immaculate Conception,Su
08.12.2013,Second Advent,Su
15.12.2013,Third Advent,Su
22.12.2013,Fourth Advent,Su
25.12.2013,Christmas,We
31.12.2013,New Year´s Eve,Tu
01.01.2014,New Year´s Day,We
04.03.2014,Shrove Tuesday,Tu
30.03.2014,DST start,Su
18.04.2014,Good Friday,Fr
20.04.2014,Easter,Su
25.04.2014,Freedom day Portugal,Fr
01.05.2014,Labour Day,Th
04.05.2014,Mother's Day,Su
09.05.2014,Europe Day,Fr
10.06.2014,Portugal Day,Tu
19.06.2014,Corpus Christi,Th
15.08.2014,Assumption Day,Fr
05.10.2014,Republic Day Portugal,Su
26.10.2014,DST end,Su
01.11.2014,All Saints' Day,Sa
30.11.2014,First Advent,Su
01.12.2014,Independence Day Portugal,Mo
07.12.2014,Second Advent,Su
08.12.2014,Immaculate Conception,Mo
14.12.2014,Third Advent,Su
21.12.2014,Fourth Advent,Su
25.12.2014,Christmas,Th
31.12.2014,New Year´s Eve,We
